Effective date 	S&P GSCI Kansas Wheat TR	S&P GSCI Kansas Wheat ER	S&P GSCI Kansas Wheat
2014-03-13	64.87	46.73	226.17
2014-03-14	66.17	47.66	230.7
2014-03-17	65.46	47.15	228.24
2014-03-18	67.2	48.41	234.31
2014-03-19	69.4	49.99	241.98
2014-03-20	68.85	49.6	240.06
2014-03-21	67.91	48.91	236.76
2014-03-24	69.95	50.39	243.9
2014-03-25	69.71	50.22	243.05
2014-03-26	67.91	48.91	236.76
2014-03-27	69.01	49.71	240.6
2014-03-28	67.22	48.42	234.38
2014-03-31	67.27	48.46	234.54
2014-04-01	66.34	47.79	231.31
2014-04-02	65.05	46.85	226.78
2014-04-03	65.51	47.19	228.4
2014-04-04	64.61	46.54	225.25
2014-04-07	65.11	46.9	227.41
2014-04-08	65.31	47.04	228.55
2014-04-09	64.56	46.51	226.39
2014-04-10	63.6	45.81	223.39
2014-04-11	63.33	45.62	222.87
2014-04-14	65.28	47.02	229.7
2014-04-15	67.3	48.48	236.84
2014-04-16	66.37	47.8	233.54
2014-04-17	66.74	48.07	234.84
2014-04-21	64.71	46.61	227.71
2014-04-22	65.15	46.92	229.24
2014-04-23	65.47	47.16	230.39
2014-04-24	66.78	48.1	235
2014-04-25	68	48.98	239.29
2014-04-28	68.61	49.42	241.44
2014-04-29	70.01	50.43	246.35
2014-04-30	70.88	51.06	249.42
2014-05-01	70.14	50.52	246.82
2014-05-02	71.69	51.64	252.26
2014-05-05	72.58	52.28	255.41
2014-05-06	73.78	53.15	259.63
2014-05-07	73.41	52.88	258.33
2014-05-08	73.5	52.94	258.63
2014-05-09	72.3	52.08	254.41
2014-05-12	71.93	51.81	253.11
2014-05-13	71.95	51.83	253.19
2014-05-14	70.34	50.66	247.51
2014-05-15	67.94	48.94	239.06
2014-05-16	66.98	48.24	235.69
2014-05-19	67.07	48.31	235.99
2014-05-20	67.02	48.28	235.84
2014-05-21	66.43	47.85	233.77
2014-05-22	65.58	47.24	230.78
2014-05-23	64.99	46.81	228.7
2014-05-27	64.41	46.39	226.63
2014-05-28	64.21	46.25	225.94
2014-05-29	63.73	45.9	224.25
2014-05-30	63.08	45.43	221.95
2014-06-02	62.7	45.17	220.64
2014-06-03	61.75	44.47	217.27
2014-06-04	62.25	44.84	219.03
2014-06-05	62.29	44.87	219.19
2014-06-06	64.17	46.22	226.08
2014-06-09	63.98	46.09	225.62
2014-06-10	63.33	45.61	223.52
2014-06-11	61.5	44.3	217.36
2014-06-12	61.61	44.38	218.04
2014-06-13	62.06	44.7	219.65
2014-06-16	61.46	44.27	217.5
2014-06-17	61.83	44.53	218.8
2014-06-18	63.08	45.44	223.25
2014-06-19	63.04	45.41	223.1
2014-06-20	62.26	44.84	220.34
2014-06-23	61.83	44.53	218.8
2014-06-24	61.05	43.97	216.04
2014-06-25	61.89	44.58	219.03
2014-06-26	62	44.66	219.42
2014-06-27	62.61	45.09	221.57
2014-06-30	60.74	43.75	214.97
2014-07-01	59.74	43.03	211.44
2014-07-02	59.14	42.59	209.29
2014-07-03	59.61	42.94	210.97
2014-07-07	58.1	41.84	205.6
2014-07-08	57.62	41.5	203.91
2014-07-09	56.67	40.81	200.54
2014-07-10	56.15	40.44	198.7
2014-07-11	55.19	39.75	195.32
2014-07-14	56.06	40.38	198.39
2014-07-15	55.43	39.92	196.16
2014-07-16	55.28	39.81	195.63
2014-07-17	56.3	40.55	199.23
2014-07-18	54.97	39.6	194.55
2014-07-21	54.48	39.24	192.79
2014-07-22	53.89	38.81	190.71
2014-07-23	54.09	38.96	191.4
2014-07-24	53.83	38.77	190.48
2014-07-25	54.76	39.44	193.78
2014-07-28	54.26	39.08	192.02
2014-07-29	53.04	38.21	187.72
2014-07-30	53.52	38.55	189.41
2014-07-31	54.28	39.1	192.1
2014-08-01	54.89	39.53	194.24
2014-08-04	55.39	39.89	196.01
2014-08-05	55.76	40.16	197.31
2014-08-06	56.93	41	201.46
2014-08-07	56.06	40.38	199.22
2014-08-08	54.59	39.32	194.83
2014-08-11	54.11	38.97	193.92
2014-08-12	53.21	38.32	191.51
2014-08-13	52.56	37.85	190.1
2014-08-14	52.9	38.1	191.33
2014-08-15	53.83	38.77	194.7
2014-08-18	53.6	38.6	193.86
2014-08-19	54.11	38.97	195.7
2014-08-20	53.53	38.56	193.63
2014-08-21	53.66	38.65	194.09
2014-08-22	54.66	39.37	197.7
2014-08-25	53.75	38.71	194.4
2014-08-26	53.62	38.62	193.94
2014-08-27	54.15	39	195.86
2014-08-28	54.72	39.41	197.93
2014-08-29	54.55	39.29	197.31
2014-09-02	53.68	38.66	194.17
2014-09-03	52.35	37.7	189.33
2014-09-04	52.64	37.92	190.41
2014-09-05	53.34	38.42	192.94
2014-09-08	53.39	38.45	193.09
2014-09-09	52.88	38.08	191.25
2014-09-10	52.24	37.63	188.95
2014-09-11	51.46	37.06	186.11
2014-09-12	50.35	36.26	182.12
2014-09-15	49.76	35.84	179.97
2014-09-16	49.5	35.65	179.05
2014-09-17	49.42	35.59	178.74
2014-09-18	48.36	34.83	174.9
2014-09-19	47.55	34.25	171.99
2014-09-22	47.55	34.25	171.99
2014-09-23	47.7	34.35	172.52
2014-09-24	47.89	34.49	173.22
2014-09-25	47.89	34.49	173.22
2014-09-26	47.85	34.46	173.06
2014-09-29	48.08	34.63	173.91
2014-09-30	47.36	34.11	171.3
2014-10-01	47.32	34.08	171.14
2014-10-02	47.66	34.32	172.37
2014-10-03	48.21	34.72	174.37
2014-10-06	48.85	35.18	176.67
2014-10-07	49.93	35.96	180.58
2014-10-08	49.78	35.85	180.05
2014-10-09	48.61	35.01	175.83
2014-10-10	49.04	35.32	177.36
2014-10-13	49.59	35.71	179.36
2014-10-14	50.1	36.08	181.2
2014-10-15	50.25	36.19	181.73
2014-10-16	51.35	36.98	185.73
2014-10-17	51.07	36.78	184.73
2014-10-20	51.01	36.74	184.5
2014-10-21	51.12	36.82	184.88
2014-10-22	51.37	37	185.8
2014-10-23	51.37	37	185.8
2014-10-24	50.4	36.3	182.27
2014-10-27	50.48	36.36	182.58
2014-10-28	51.1	36.8	184.8
2014-10-29	51.48	37.07	186.19
2014-10-30	51.1	36.8	184.8
2014-10-31	50.4	36.3	182.27
2014-11-03	50.71	36.52	183.42
2014-11-04	50.1	36.08	181.2
2014-11-05	49.61	35.73	179.43
2014-11-06	49.14	35.39	177.74
2014-11-07	48.32	34.8	175.04
2014-11-10	48.61	35.01	176.3
2014-11-11	49.02	35.3	177.87
2014-11-12	50.68	36.5	183.9
2014-11-13	51.26	36.92	186.03
2014-11-14	51.45	37.05	186.72
2014-11-17	50.75	36.55	184.19
2014-11-18	50.45	36.34	183.12
2014-11-19	49.84	35.9	180.89
2014-11-20	51.28	36.93	186.11
2014-11-21	51.34	36.98	186.34
2014-11-24	51.24	36.9	185.96
2014-11-25	52.36	37.71	190.02
2014-11-26	52.72	37.97	191.33
2014-11-28	54.13	38.99	196.47
2014-12-01	56.18	40.46	203.91
2014-12-02	55.17	39.73	200.23
2014-12-03	54.11	38.97	196.39
2014-12-04	53.75	38.71	195.09
2014-12-05	54.07	38.94	196.24
2014-12-08	54.07	38.94	196.24
2014-12-09	52.61	37.89	190.94
2014-12-10	52.23	37.62	189.56
2014-12-11	53.08	38.23	192.63
2014-12-12	53.65	38.64	194.7
2014-12-15	54.73	39.41	198.62
2014-12-16	55.38	39.89	201
2014-12-17	57.64	41.51	209.21
2014-12-18	57.83	41.65	209.9
2014-12-19	56.33	40.57	204.45
2014-12-22	55.64	40.07	201.92
2014-12-23	56.23	40.49	204.07
2014-12-24	54.47	39.23	197.7
2014-12-26	54.49	39.25	197.77
2014-12-29	54.77	39.44	198.77
2014-12-30	53.8	38.74	195.24
2014-12-31	52.99	38.16	192.33
2015-01-02	52.19	37.59	189.41
2015-01-05	52.85	38.06	191.79
2015-01-06	53.4	38.45	193.78
2015-01-07	52.44	37.77	190.33
2015-01-08	51.41	37.02	186.57
2015-01-09	50.79	36.58	184.34
2015-01-12	49.95	35.97	181.27
2015-01-13	49.21	35.44	178.59
2015-01-14	48.64	35.03	176.52
2015-01-15	48.47	34.91	175.9
2015-01-16	48.81	35.15	177.13
2015-01-20	48.87	35.19	177.36
2015-01-21	48.41	34.86	175.67
2015-01-22	47.77	34.4	173.37
2015-01-23	47.71	34.36	173.14
2015-01-26	46.9	33.78	170.22
2015-01-27	46.54	33.52	168.92
2015-01-28	45.32	32.64	164.47
2015-01-29	46.02	33.14	167
2015-01-30	45.7	32.91	165.85
2015-02-02	45.21	32.56	164.08
2015-02-03	47.28	34.05	171.6
2015-02-04	46.76	33.67	169.69
2015-02-05	47.71	34.36	173.14
2015-02-06	47.52	34.22	172.65
2015-02-09	47.66	34.32	173.32
2015-02-10	46.85	33.74	170.53
2015-02-11	47.23	34.01	171.99
2015-02-12	46.77	33.68	170.38
2015-02-13	47.5	34.21	173.06
2015-02-17	47.42	34.15	172.76
2015-02-18	46.3	33.35	168.69
2015-02-19	45.97	33.1	167.46
2015-02-20	45.36	32.66	165.23
2015-02-23	45.17	32.53	164.54
2015-02-24	45.33	32.65	165.16
2015-02-25	44.72	32.21	162.93
2015-02-26	44.87	32.31	163.47
2015-02-27	45.46	32.74	165.62
2015-03-02	44.3	31.9	161.4
2015-03-03	45.1	32.48	164.31
2015-03-04	44.43	32	161.86
2015-03-05	43.57	31.37	158.71
2015-03-06	44.01	31.69	160.32
2015-03-09	44.7	32.19	162.86
2015-03-10	45.17	32.53	164.54
2015-03-11	45.57	32.81	166
2015-03-12	46.05	33.16	167.77
2015-03-13	45.44	32.72	165.54
2015-03-16	46.77	33.68	170.38
2015-03-17	45.74	32.94	166.62
2015-03-18	46.6	33.56	169.76
2015-03-19	46.37	33.39	168.92
2015-03-20	47.99	34.56	174.83
2015-03-23	48.41	34.86	176.36
2015-03-24	47.63	34.3	173.52
2015-03-25	47.44	34.16	172.83
2015-03-26	45.76	32.95	166.69
2015-03-27	46.6	33.56	169.76
2015-03-30	48.56	34.97	176.9
2015-03-31	47.13	33.94	171.68
2015-04-01	48.2	34.71	175.59
2015-04-02	49.11	35.36	178.89
2015-04-06	48.2	34.71	175.59
2015-04-07	47.63	34.3	173.52
2015-04-08	47.3	34.06	172.57
2015-04-09	46.48	33.47	169.88
2015-04-10	47.05	33.89	172.22
2015-04-13	44.57	32.1	163.38
2015-04-14	43.96	31.66	161.4
2015-04-15	43.32	31.19	159.02
2015-04-16	42.98	30.95	157.79
2015-04-17	43.04	31	158.02
2015-04-20	43.32	31.19	159.02
2015-04-21	43.4	31.25	159.32
2015-04-22	43.25	31.15	158.79
2015-04-23	43.65	31.43	160.25
2015-04-24	42.44	30.56	155.79
2015-04-27	41.48	29.87	152.26
2015-04-28	42.06	30.29	154.41
2015-04-29	42.61	30.68	156.41
2015-04-30	41.73	30.05	153.19
2015-05-01	41.85	30.14	153.65
2015-05-04	41.67	30	152.95
2015-05-05	41	29.52	150.5
2015-05-06	42.1	30.32	154.57
2015-05-07	41.79	30.09	153.42
2015-05-08	42.52	30.62	156.1
2015-05-11	42.54	30.64	156.18
2015-05-12	42.46	30.58	155.87
2015-05-13	42.61	30.68	156.41
2015-05-14	45.43	32.71	166.77
2015-05-15	45.3	32.62	166.31
2015-05-18	46.41	33.42	170.38
2015-05-19	45.16	32.52	165.77
2015-05-20	45.58	32.82	167.31
2015-05-21	46.64	33.59	171.22
2015-05-22	45.7	32.91	167.77
2015-05-26	43.86	31.58	161.01
2015-05-27	42.82	30.83	157.18
2015-05-28	42.67	30.73	156.64
2015-05-29	41.71	30.03	153.11
2015-06-01	43	30.97	157.87
2015-06-02	44.78	32.25	164.39
2015-06-03	44.26	31.87	162.47
2015-06-04	45.26	32.59	166.16
2015-06-05	44.76	32.23	164.97
2015-06-08	45.54	32.8	168.56
2015-06-09	45.85	33.02	170.42
2015-06-10	44.34	31.93	165.43
2015-06-11	43.73	31.49	163.78
2015-06-12	43.91	31.62	164.47
2015-06-15	42.48	30.59	159.09
2015-06-16	42.25	30.42	158.25
2015-06-17	42.19	30.38	158.02
2015-06-18	41.62	29.97	155.87
2015-06-19	42.05	30.28	157.48
2015-06-22	42.7	30.75	159.94
2015-06-23	44.24	31.86	165.69
2015-06-24	43.68	31.46	163.62
2015-06-25	44.55	32.08	166.85
2015-06-26	46.64	33.58	174.67
2015-06-29	47.66	34.32	178.51
2015-06-30	50.02	36.02	187.34
2015-07-01	48.56	34.97	181.89
2015-07-02	48.5	34.92	181.66
2015-07-06	48.56	34.97	181.89
2015-07-07	48.05	34.6	179.97
2015-07-08	47.78	34.41	178.97
2015-07-09	47.48	34.19	177.82
2015-07-10	46.9	33.77	175.67
2015-07-13	46.49	33.48	174.14
2015-07-14	46	33.12	172.29
2015-07-15	45.82	32.99	171.6
2015-07-16	45.34	32.65	169.84
2015-07-17	44.79	32.25	167.77
2015-07-20	43.07	31.01	161.32
2015-07-21	42.46	30.57	159.02
2015-07-22	41.98	30.23	157.25
2015-07-23	42.37	30.51	158.71
2015-07-24	41.57	29.94	155.72
2015-07-27	40.92	29.47	153.26
2015-07-28	41.37	29.79	154.95
2015-07-29	40.59	29.23	152.03
2015-07-30	40.24	28.98	150.73
2015-07-31	40.35	29.05	151.11
2015-08-03	40.08	28.86	150.12
2015-08-04	39.75	28.62	148.89
2015-08-05	40.12	28.89	150.27
2015-08-06	40.12	28.89	150.27
2015-08-07	40.41	29.1	152.62
2015-08-10	41.35	29.77	157.45
2015-08-11	40.03	28.83	153.77
2015-08-12	39	28.08	151.11
2015-08-13	39.78	28.64	155.41
2015-08-14	40.07	28.86	156.56
2015-08-17	39.46	28.42	154.18
2015-08-18	38.93	28.04	152.11
2015-08-19	38.8	27.94	151.57
2015-08-20	39.39	28.36	153.88
2015-08-21	38.72	27.88	151.27
2015-08-24	39.09	28.15	152.72
2015-08-25	38.42	27.67	150.12
2015-08-26	38.44	27.68	150.19
2015-08-27	38.37	27.62	149.88
2015-08-28	37.99	27.36	148.43
2015-08-31	38.33	27.6	149.73
2015-09-01	37.89	27.29	148.04
2015-09-02	37.31	26.86	145.74
2015-09-03	36.76	26.47	143.59
2015-09-04	37.31	26.86	145.74
2015-09-08	37.48	26.99	146.43
2015-09-09	37.13	26.73	145.05
2015-09-10	37.52	27.02	146.58
2015-09-11	37.9	27.29	148.04
2015-09-14	39	28.08	152.34
2015-09-15	38.7	27.87	151.19
2015-09-16	38.23	27.53	149.35
2015-09-17	37.66	27.12	147.12
2015-09-18	37.9	27.29	148.04
2015-09-21	38.54	27.75	150.58
2015-09-22	38.35	27.61	149.81
2015-09-23	39.43	28.39	154.03
2015-09-24	38.51	27.72	150.42
2015-09-25	39.31	28.3	153.57
2015-09-28	39.09	28.15	152.72
2015-09-29	38.88	27.99	151.88
2015-09-30	39.43	28.39	154.03
2015-10-01	39.88	28.71	155.79
2015-10-02	39.33	28.32	153.65
2015-10-05	39.45	28.4	154.11
2015-10-06	40.53	29.18	158.33
2015-10-07	39.92	28.74	155.95
2015-10-08	39.57	28.49	154.57
2015-10-09	39.31	28.3	153.57
2015-10-12	39.11	28.16	152.8
2015-10-13	40.16	28.91	156.87
2015-10-14	39.35	28.33	153.72
2015-10-15	39	28.08	152.34
2015-10-16	37.99	27.36	148.43
2015-10-19	37.11	26.72	144.97
2015-10-20	37.44	26.96	146.28
2015-10-21	37.76	27.19	147.51
2015-10-22	37.37	26.9	145.97
2015-10-23	37.37	26.9	145.97
2015-10-26	38.68	27.85	151.11
2015-10-27	38.35	27.61	149.81
2015-10-28	38.15	27.47	149.04
2015-10-29	38.37	27.62	149.88
2015-10-30	38.8	27.94	151.57
2015-11-02	37.94	27.31	148.2
2015-11-03	38.31	27.58	149.65
2015-11-04	38.72	27.88	151.27
2015-11-05	38.19	27.5	149.19
2015-11-06	38.53	27.74	151.45
2015-11-09	37.26	26.83	147.44
2015-11-10	36.23	26.08	144.3
2015-11-11	36.46	26.25	146.14
2015-11-12	36.39	26.2	146.74
2015-11-13	36.53	26.3	147.28
2015-11-16	36.62	26.37	147.66
2015-11-17	36.26	26.11	146.2
2015-11-18	36.03	25.94	145.28
2015-11-19	36.26	26.11	146.2
2015-11-20	35.82	25.79	144.44
2015-11-23	36.39	26.2	146.74
2015-11-24	35.97	25.9	145.05
2015-11-25	35.94	25.87	144.9
2015-11-27	35.52	25.57	143.21
2015-11-30	35.99	25.91	145.13
2015-12-01	35.71	25.71	143.98
2015-12-02	35.48	25.54	143.05
2015-12-03	36.28	26.12	146.28
2015-12-04	36.59	26.34	147.51
2015-12-07	36.13	26.01	145.66
2015-12-08	35.98	25.9	145.05
2015-12-09	36.59	26.34	147.51
2015-12-10	37.29	26.85	150.35
2015-12-11	36.74	26.45	148.12
2015-12-14	37.16	26.75	149.81
2015-12-15	37.48	26.98	151.11
2015-12-16	36.63	26.37	147.66
2015-12-17	36.59	26.34	147.51
2015-12-18	36.72	26.43	148.04
2015-12-21	36.08	25.97	145.43
2015-12-22	35.83	25.79	144.44
2015-12-23	35.72	25.71	143.98
2015-12-24	35.6	25.63	143.52
2015-12-28	35.49	25.54	143.05
2015-12-29	36.04	25.94	145.28
2015-12-30	35.45	25.52	142.9
2015-12-31	35.68	25.68	143.82
2016-01-04	34.59	24.9	139.45
2016-01-05	35.03	25.21	141.21
2016-01-06	35.11	25.27	141.52
2016-01-07	35.24	25.37	142.06
2016-01-08	36	25.91	145.13
2016-01-11	35.21	25.34	141.9
2016-01-12	36.61	26.35	147.58
2016-01-13	36.25	26.09	146.12
2016-01-14	35.68	25.68	143.82
2016-01-15	36.1	25.98	145.51
2016-01-19	36.01	25.91	145.13
2016-01-20	35.59	25.61	143.44
2016-01-21	35.91	25.84	144.74
2016-01-22	35.86	25.8	144.51
2016-01-25	36.1	25.98	145.51
2016-01-26	36.31	26.13	146.35
2016-01-27	35.61	25.63	143.52
2016-01-28	35.4	25.47	142.67
2016-01-29	35.95	25.87	144.9
2016-02-01	35.55	25.58	143.28
2016-02-02	35.44	25.5	142.82
2016-02-03	35.69	25.68	143.82
2016-02-04	35.02	25.2	141.14
2016-02-05	34.58	24.89	139.95
2016-02-08	33.95	24.43	137.99
2016-02-09	33.9	24.39	138.4
2016-02-10	33.87	24.37	138.86
2016-02-11	33.83	24.34	139.29
2016-02-12	33.83	24.34	139.29
2016-02-16	34.3	24.68	141.21
2016-02-17	34.5	24.83	142.06
2016-02-18	34.52	24.84	142.13
2016-02-19	34.77	25.01	143.13
2016-02-22	34.56	24.87	142.29
2016-02-23	34.04	24.49	140.14
2016-02-24	33.84	24.34	139.29
2016-02-25	34.08	24.52	140.29
2016-02-26	33.87	24.37	139.45
2016-02-29	34.12	24.54	140.45
2016-03-01	33.52	24.12	137.99
2016-03-02	33.93	24.41	139.68
2016-03-03	34.75	25	143.05
2016-03-04	34.96	25.15	143.9
2016-03-07	35.11	25.26	144.51
2016-03-08	35.13	25.27	144.59
2016-03-09	35.48	25.52	146.05
2016-03-10	36.04	25.93	148.35
2016-03-11	36.02	25.91	148.27
2016-03-14	36.47	26.23	150.12
2016-03-15	36.47	26.23	150.12
2016-03-16	36.08	25.95	148.5
2016-03-17	35.11	25.26	144.51
2016-03-18	35.02	25.19	144.13
2016-03-21	35.41	25.47	145.74
2016-03-22	35.56	25.58	146.35
2016-03-23	35.22	25.34	144.97
2016-03-24	35.19	25.31	144.82
2016-03-28	35.58	25.59	146.43
2016-03-29	35.93	25.85	147.89
2016-03-30	34.74	24.99	142.98
2016-03-31	35.52	25.55	146.2
2016-04-01	35.64	25.63	146.66
2016-04-04	35.45	25.5	145.89
2016-04-05	35.32	25.4	145.36
2016-04-06	34.41	24.75	141.6
2016-04-07	33.89	24.37	140.14
2016-04-08	34.31	24.67	142.53
2016-04-11	33.1	23.8	138.16
2016-04-12	33.34	23.98	139.82
2016-04-13	33.89	24.37	142.75
2016-04-14	33.94	24.41	142.98
2016-04-15	34.13	24.54	143.75
2016-04-18	34.66	24.92	145.97
2016-04-19	35.55	25.56	149.73
2016-04-20	36.77	26.44	154.87
2016-04-21	36.44	26.21	153.49
2016-04-22	34.51	24.82	145.36
2016-04-25	34.53	24.83	145.43
2016-04-26	34.84	25.05	146.74
2016-04-27	34.73	24.98	146.28
2016-04-28	34.59	24.87	145.66
2016-04-29	34.88	25.08	146.89
2016-05-02	34.57	24.86	145.59
2016-05-03	33.22	23.89	139.91
2016-05-04	33.37	23.99	140.52
2016-05-05	33	23.73	138.99
2016-05-06	33.06	23.77	139.22
2016-05-09	32.53	23.39	136.99
2016-05-10	32.67	23.49	137.61
2016-05-11	32.24	23.18	135.76
2016-05-12	32.78	23.57	138.07
2016-05-13	33.24	23.9	139.98
2016-05-16	33.06	23.77	139.22
2016-05-17	33.37	23.99	140.52
2016-05-18	33.3	23.94	140.21
2016-05-19	32.66	23.48	137.53
2016-05-20	32.73	23.53	137.84
2016-05-23	32.59	23.43	137.22
2016-05-24	32.55	23.4	137.07
2016-05-25	32.88	23.64	138.45
2016-05-26	33.7	24.23	141.9
2016-05-27	33.52	24.1	141.14
2016-05-31	32.61	23.44	137.3
2016-06-01	33.25	23.9	139.98
2016-06-02	33.87	24.35	142.59
2016-06-03	34.56	24.84	145.51
2016-06-06	35.09	25.22	147.74
2016-06-07	35.36	25.42	149.87
2016-06-08	35.93	25.83	153.29
2016-06-09	35.33	25.39	151.74
2016-06-10	34.21	24.59	148
2016-06-13	33.69	24.22	146.82
2016-06-14	33.57	24.13	146.28
2016-06-15	33.43	24.03	145.66
2016-06-16	33.01	23.72	143.82
2016-06-17	33.71	24.23	146.89
2016-06-20	33.04	23.75	143.98
2016-06-21	31.88	22.91	138.91
2016-06-22	31.77	22.84	138.45
2016-06-23	31.39	22.56	136.76
2016-06-24	31.07	22.33	135.38
2016-06-27	30.38	21.84	132.39
2016-06-28	30.17	21.69	131.47
2016-06-29	29.57	21.26	128.86
2016-06-30	29.77	21.4	129.7
2016-07-01	28.99	20.84	126.32
2016-07-05	29.35	21.09	127.86
2016-07-06	29.22	21	127.32
2016-07-07	29.05	20.88	126.55
2016-07-08	29.68	21.33	129.32
2016-07-11	29.36	21.1	127.94
2016-07-12	29.81	21.42	129.85
2016-07-13	29.77	21.4	129.7
2016-07-14	29.44	21.15	128.24
2016-07-15	29.15	20.95	127.01
2016-07-18	29.6	21.27	128.93
2016-07-19	28.93	20.79	126.02
2016-07-20	28.66	20.6	124.87
2016-07-21	28.72	20.64	125.1
2016-07-22	29.53	21.22	128.63
2016-07-25	29.83	21.43	129.93
2016-07-26	29.03	20.86	126.48
2016-07-27	29.07	20.89	126.63
2016-07-28	28.82	20.71	125.56
2016-07-29	28.88	20.75	125.79
2016-08-01	28.84	20.72	125.63
2016-08-02	28.65	20.58	124.79
2016-08-03	29.05	20.88	126.55
2016-08-04	28.6	20.55	124.56
2016-08-05	29.02	20.85	127.97
2016-08-08	28.88	20.75	128.89
2016-08-09	28.9	20.77	130.56
2016-08-10	29.04	20.87	132.79
2016-08-11	29.06	20.88	134.46
2016-08-12	29.34	21.08	135.76
2016-08-15	29.05	20.87	134.38
2016-08-16	29.01	20.84	134.23
2016-08-17	29.46	21.17	136.3
2016-08-18	29.64	21.3	137.15
2016-08-19	29.51	21.2	136.53
2016-08-22	29.2	20.98	135.07
2016-08-23	28.77	20.67	133.08
2016-08-24	28.8	20.69	133.23
2016-08-25	28.68	20.61	132.69
2016-08-26	27.65	19.87	127.94
2016-08-29	26.69	19.18	123.48
2016-08-30	26.33	18.91	121.8
2016-08-31	26.38	18.95	122.03
2016-09-01	26.98	19.38	124.79
2016-09-02	27.42	19.7	126.86
2016-09-06	27.23	19.56	125.94
2016-09-07	27.28	19.59	126.17
2016-09-08	27.74	19.93	128.32
2016-09-09	27.77	19.95	128.47
2016-09-12	28.12	20.2	130.08
2016-09-13	27.59	19.82	127.63
2016-09-14	27.76	19.94	128.4
2016-09-15	27.61	19.83	127.71
2016-09-16	27.69	19.89	128.09
2016-09-19	27.64	19.86	127.86
2016-09-20	27.78	19.95	128.47
2016-09-21	28.03	20.13	129.62
2016-09-22	27.93	20.06	129.16
2016-09-23	27.98	20.09	129.39
2016-09-26	27.48	19.74	127.09
2016-09-27	27.83	19.99	128.7
2016-09-28	27.96	20.08	129.32
2016-09-29	27.7	19.89	128.09
2016-09-30	27.58	19.81	127.55
2016-10-03	27.02	19.4	124.94
2016-10-04	26.75	19.21	123.71
2016-10-05	27.55	19.78	127.4
2016-10-06	26.88	19.31	124.33
2016-10-07	26.75	19.21	123.71
2016-10-10	27.02	19.4	124.94
2016-10-11	26.97	19.37	124.71
2016-10-12	26.45	19	122.33
2016-10-13	27.48	19.74	127.09
2016-10-14	27.73	19.91	128.24
2016-10-17	28.02	20.12	129.55
2016-10-18	28	20.11	129.47
2016-10-19	28.23	20.27	130.54
2016-10-20	28.08	20.17	129.85
2016-10-21	27.98	20.09	129.39
2016-10-24	27.39	19.66	126.63
2016-10-25	27.45	19.71	126.94
2016-10-26	27.69	19.88	128.01
2016-10-27	27.69	19.88	128.01
2016-10-28	27.31	19.6	126.25
2016-10-31	27.54	19.77	127.32
2016-11-01	27.47	19.72	127.01
2016-11-02	27.59	19.81	127.55
2016-11-03	27.26	19.57	126.02
2016-11-04	27.32	19.62	126.32
2016-11-07	27.22	19.55	126.95
2016-11-08	27.72	19.9	130.31
2016-11-09	27.24	19.56	129.16
2016-11-10	27.16	19.49	129.84
2016-11-11	27.24	19.55	131.31
2016-11-14	26.78	19.22	129.09
2016-11-15	27.1	19.45	130.62
2016-11-16	26.8	19.23	129.16
2016-11-17	27.11	19.46	130.7
2016-11-18	27.45	19.7	132.31
2016-11-21	27.51	19.75	132.62
2016-11-22	27.66	19.85	133.31
2016-11-23	27.61	19.82	133.08
2016-11-25	27.36	19.63	131.85
2016-11-28	27.42	19.68	132.16
2016-11-29	26.64	19.12	128.4
2016-11-30	26.13	18.75	125.94
2016-12-01	25.67	18.42	123.71
2016-12-02	26.04	18.69	125.48
2016-12-05	26.02	18.67	125.4
2016-12-06	25.8	18.51	124.33
2016-12-07	25.48	18.29	122.79
2016-12-08	25.78	18.5	124.25
2016-12-09	26.34	18.9	126.94
2016-12-12	26.42	18.96	127.32
2016-12-13	26.45	18.98	127.48
2016-12-14	26.76	19.2	128.93
2016-12-15	26.3	18.87	126.71
2016-12-16	26.42	18.96	127.32
2016-12-19	26.38	18.93	127.09
2016-12-20	26.3	18.87	126.71
2016-12-21	26.08	18.71	125.63
2016-12-22	26	18.65	125.25
2016-12-23	25.89	18.57	124.71
2016-12-27	26.68	19.14	128.55
2016-12-28	26.09	18.72	125.71
2016-12-29	26.46	18.98	127.48
2016-12-30	26.67	19.13	128.47
2017-01-03	26.38	18.93	127.09
2017-01-04	27.18	19.5	130.93
2017-01-05	27.69	19.86	133.38
2017-01-06	27.63	19.82	133.08
2017-01-09	27.95	20.05	134.61
2017-01-10	27.93	20.03	134.54
2017-01-11	27.52	19.74	132.54
2017-01-12	28.35	20.33	136.53
2017-01-13	28.62	20.53	137.84
2017-01-17	28.81	20.66	138.76
2017-01-18	28.83	20.67	138.83
2017-01-19	28.19	20.22	135.76
2017-01-20	28.24	20.25	135.99
2017-01-23	28.35	20.33	136.53
2017-01-24	28.16	20.19	135.61
2017-01-25	27.91	20.01	134.38
2017-01-26	28.07	20.13	135.15
2017-01-27	27.68	19.85	133.31
2017-01-30	27.14	19.46	130.7
2017-01-31	27.38	19.63	131.85
2017-02-01	28.08	20.14	135.23
2017-02-02	28.28	20.27	136.15
2017-02-03	28.08	20.14	135.23
2017-02-06	27.78	19.92	133.77
2017-02-07	28.02	20.09	135.72
2017-02-08	28.18	20.2	137.25
2017-02-09	28.75	20.61	140.78
2017-02-10	29.35	21.04	144.5
